Aleksandrów
Lasowice Wielkie
Lenarcice
Lewice
Leśna
Leśnik
Lichynia
Ligota Bialska
Ligota Czamborowa
Ligota Dobrodzieńska
Ligota Dolna
Ligota Dolna
Ligota Górna
Ligota Górna
Ligota Książęca
Ligota Mała
Ligota Oleska
Ligota Prószkowska
Ligota Turawska
Ligota Tułowicka
Ligota Wielka
Ligota Wielka
Ligota Wołczyńska
Ligota Zamecka
Ligotka
Lipki
Lipniki
Lipno
Lipowa
Lipowa
Lipowa
Lisie Kąty
Lisięcice
Lubcz
Lubiatów
Lubicz
Lubienia
Lubieszów
Lubnów
Luboszyce
Lubotyń
Lubrza
Lubska
Lubsza
Ludmierzyce
Lwowiany
Lędziny
Maciejowice
Maciejów
Maciowakrze
Magnuszowice
Magnuszowiczki
Makowczyce
Makowice
Malerzowice Wielkie
Malnia
Marki
Markotów Duży
Markotów Mały
Markowice
Masów
Małujowice
Mańkowice
Mechnica
Mechnice
Meszno
Michalice
Michałkowice
Michałowice
Michałów
Michałówek
Miechowa
Miedziana
Miejsce
Miejsce Odrzańskie
Mierzęcin
Mierzęcin
Mieszkowice
Mikolin
Mikowice
Mikołajowa
Milice
Minkowskie
Miodary
Mionów
Miłowice
Mnichus
Mochów
Mokra
Mokre
Mokre-Kolonia
Molestowice
Morów
Moszczanka
Moszna
Mroczkowa
Murów
Myszowice
Myśliborzyce
Myślina
Mąkoszyce
Młodnik
Młodoszowice
Młokicie
Młyny
Naczysławki
Naczęsławice
Nadziejów
Nakło
Narok
Nasale
Nasiedle
Niekazanice
Niemysłowice
Nieradowice
Niesiebędowice
Niewodniki
Niezdrowice
Nieznaszyn
Niwki
Niwki
Niwki
Niwnica
Nogowczyce
Nowa Bogacica
Nowa Cerekwia
Nowa Jamka
Nowa Kuźnia
Nowa Schodnia
Nowa Wieś
Nowa Wieś
Nowa Głubczycka
Nowa Mała
Nowa Mała
Nowa Prudnicka
Nowaki
Nowe Budkowice
Nowe Gołuszowice
Nowe Karmonki
Nowe Kolnie
Nowe Kotkowice
Nowe Sady
Nowe Siołkowice
Nowe Smarchowice
Nowy Browiniec
Nowy Dwór Prudnicki
Nowy Folwark
Nowy Las
Nowy Rożnów
Nowy Świat
Nowy Świętów
Objazda
Obrowiec
Obórki
Ochodze
Odrowąż
Ogiernicze
Ogonów
Okoły
Olbrachcice
Oldrzyszowice
Oleszka
Olszanka
Olszowa
Olszynka
Opawica
Ortowice
Osiecko
Osiek
Osiek Duży
Osiek Grodkowski
Osiny
Osowiec
Ostrożnica
Otmice
Otoki
Oś
Pakoszów
Pakosławice
Paruszowice
Pawłowice
Pawłowice Namysłowskie
Pawłowiczki
Pawłów
Piastowice
Piechocice
Pieczyska
Pielgrzymowice
Pielgrzymów
Pietna
Pietraszów
Pietrowice
Pilszcz
Piorunkowice
Piotrowa
Piotrowice Nyskie
Piotrówka
Pisarzowice
Pisarzowice
Piątkowice
Pleśnica
Pludry
Pniewie
Poborszów
Pociękarb
Poczołków
Podkamień
Podlesie
Podlesie
Pogorzałka
Pogorzela
Pogórze
Pokrzywna
Pokrzywnica
Pokój
Polana
Polanowice
Polesie
Polkowskie
Polska Cerekiew
Polska Nowa Wieś
Polski Świętów
Pomorzowice
Pomorzowiczki
Popielowska Kolonia
Popielów
Porąbki
Poręba
Posucice
Poznowice
Połowa
Prosna
Proślice
Prusinowice
Prusków
Przechód
Przecza
Przeczów
Przedborowice
Przedmość
Przewóz
Przełęk
Przydroże Małe
Przydroże Wielkie
Przylesie
Przylesie Dolne
Przysiecz
Przywory
Prądy
Prędocin
Prężyna
Prężynka
Pszczonki
Pszeniczna
Ptakowice
Pustków
Puszyna
Pągów
Pępice
Płużnica Wielka
Raciszów
Racławice Śląskie
Racławiczki
Radawie
Radomierowice
Radostynia
Radoszowice
Radoszowy
Radynia
Radziejów
Radzikowice
Radłów
Raków
Raszowa
Raszowa
Ratnowice
Regulice
Reńska Wieś
Reńska Wieś
Rogalice
Rogi
Rogożany
Rogów
Rogów Opolski
Rosochy
Rostkowice
Roszkowice
Roszkowice
Roszkowice
Roszowice
Roszowicki Las
Rozkochów
Rozmierka
Rozmierz
Rozterk
Rozumice
Rozwadza
Rożniątów
Rożnów
Rudniki
Rudziczka
Rusocin
Rutki
Rybna
Rychnów
Rynarcice
Rzepcze
Rzymiany
Rzymkowice
Rzędowice
Rzędziwojowice
Rzędów
Równe
Różyna
Rączka
Sady
Sarnowice
Sarny Małe
Sarny Wielkie
Sarnów
Schodnia
Sidzina
Siedlec
Siedlec
Siedlice
Siedliska
Siedliska
Siemysłów
Sieroniowice
Sierosławice
Siestrzechowice
Skarbimierz
Skarbiszowice
Skarbiszów
Skałągi
Skorochów
Skorogoszcz
Skoroszyce
Skotnica
Skrońsko
Skrzypiec
Smarchowice Małe
Smarchowice Wielkie
Smarchowice Śląskie
Smardy Dolne
Smardy Górne
Smogorzów
Smolarnia
Smolice
Solarnia
Solec
Sosnówka
Sowczyce
Sowin
Sołtysy
Sprzęcice
Spórok
Staniszcze Małe
Staniszcze Wielkie
Stara Jamka
Stara Kuźnia
Stare Budkowice
Stare Czaple
Stare Kolnie
Stare Kotkowice
Stare Koźle
Stare Olesno
Stare Siołkowice
Starowice
Starowice Dolne
Starościn
Stary Grodków
Stary Las
Stary Paczków
Stary Ujazd
Steblów
Steblów
Sternalice
Stobrawa
Stradunia
Strobice
Strojec
Stroszowice
Strzegów
Strzelce
Strzeleczki
Strzelniki
Sucha
Sucha Kamienica
Sucha Psina
Suchodaniec
Suchy Bór
Sukowice
Sulisław
Suszkowice
Sułków
Szadurczyce
Szczedrzyk
Szczepanek
Szczyty
Szemrowice
Szklary
Szonów
Szum
Szumirad
Szybowice
Szydłowice
Szydłowiec Śląski
Szydłów
Szymiszów
Szymonków
Szyszków
Sękowice
Sławice
Sławniowice
Sławoszów
Słoków
Słowików
Słupice
Tarnica
Tarnkowa
Tarnowiec
Tarnów Grodkowski
Tarnów Opolski
Tokary
Tomice
Trawniki
Trzebina
Trzebiszyn
Trzeboszowice
Turawa
Turków
Turza
Tułowice
Tuły
Twardawa
Tłustomosty
Tłustoręby
Uciechowice
Ucieszków
Ujeździec
Ulanowice
Unieszów
Unikowice
Urbanowice
Uszyce
Wachowice
Wachów
Walce
Walidrogi
Warmątowice
Warłów
Wasiłowice
Wawelno
Wawrzyńcowice
Wichrów
Widok
Wiechowice
Wielkie Łąki
Wielołęka
Wierchlesie
Wierzbica Dolna
Wierzbica Górna
Wierzbie
Wierzbie
Wierzbiec
Wierzbięcice
Wierzbna
Wierzbnik
Wierzbno
Wierzch
Wierzchy
Wilamowa
Wilamowice Nyskie
Wilemowice
Wilków
Wilków
Winów
Witosławice
Więcmierzyce
Większyce
Wojciechów
Wojciechów
Wojnowice
Wojnowiczki
Wojsław
Wojsławice
Wolęcin
Woskowice Górne
Woskowice Małe
Wronin
Wronów
Wrzoski
Wróblin
Wydrowice
Wygiełdów
Wysoka
Wysoka
Wysoka
Wyszków Śląski
Wódka
Wójcice
Wójtowice
Wąsice
Wędrynia
Węgry
Węża
Wężowice
Włochy
Włodary
Włodzienin
Włostowa
Zabierzów
Zagwiździe
Zakrzów
Zakrzów
Zakrzów Turawski
Zalesie Śląskie
Zawada
Zawada
Zawiszyce
Zawiść
Zbica
Zdziechowice
Zieleniec
Zielina
Zielonkowice
Zielęcice
Ziemiełowice
Zimna Wódka
Zimnice Małe
Zimnice Wielkie
Zofijówka
Zopowy
Zopowy-Osiedle
Zubrzyce
Zurzyce
Zwanowice
Zwanowice
Zwiastowice
Zwóz
Zębowice
Złotniki
Złotogłowice
Ćwiercie
Ładza
Łambinowice
Łaniec
Łany
Łaziska
Łomnica
Łosiów
Łowkowice
Łowkowice
Łowoszów
Łubniany
Łukowice Brzeskie
Łączany
Łącznik
Łąka
Łąka
Łąka Prudnicka
Łąki Kozielskie
Łężce
Ściborowice
Ściborzyce Małe
Ściborzyce Wielkie
Ścibórz
Ścigów
Ścinawa Mała
Ścinawa Nyska
Śliwice
Śmicz
Śmiechowice
Świercze
Świerczów
Świerkle
Świniary Małe
Świniary Wielkie
Święciny
Źlinice
Żaba
Żabiniec
Żarów
Żelazna
Żelazna
Żerkowice
Żużela
Żyrowa
Żytniów
Żywocice
Żędowice
Żłobizna
