Жабінкаўскі раён 	Жабінка 	Брэсцкая вобласць 	+375 1641
Жлобінскі раён 	Жлобін 	Гомельская вобласць 	+375 2334
Жыткавіцкі раён 	Жыткавічы 	Гомельская вобласць 	+375 2353
Зэльвенскі раён 	Зэльва 	Гродзенская вобласць 	+375 1564
Іванаўскі раён 	Іванава 	Брэсцкая вобласць 	+375 1652
Івацэвіцкі раён 	Івацэвічы 	Брэсцкая вобласць 	+375 1645
Іўеўскі раён 	Іўе 	Гродзенская вобласць 	+375 1595
Калінкавіцкі раён 	Калінкавічы 	Гомельская вобласць 	+375 2345
Камянецкі раён 	Камянец 	Брэсцкая вобласць 	+375 1631
Капыльскі раён 	Капыль 	Мінская вобласць 	+375 1719
Кармянскі раён 	Карма 	Гомельская вобласць 	+375 2337
Карэліцкі раён 	Карэлічы 	Гродзенская вобласць 	+375 1596
Касцюковіцкі раён 	Касцюковічы 	Магілёўская вобласць 	+375 2245
Кіраўскі раён 	Кіраўск 	Магілёўская вобласць 	+375 2237
Клецкі раён 	Клецк 	Мінская вобласць 	+375 1793
Клімавіцкі раён 	Клімавічы 	Магілёўская вобласць 	+375 2244
Клічаўскі раён 	Клічаў 	Магілёўская вобласць 	+375 2236
Кобрынскі раён 	Кобрын 	Брэсцкая вобласць 	+375 1642
Краснапольскі раён 	Краснаполле 	Магілёўская вобласць 	+375 2238
Круглянскі раён 	Круглае 	Магілёўская вобласць 	+375 2234
Крупскі раён 	Крупкі 	Мінская вобласць 	+375 1796
Крычаўскі раён 	Крычаў 	Магілёўская вобласць 	+375 2241
Лагойскі раён 	Лагойск 	Мінская вобласць 	+375 1774
Лельчыцкі раён 	Лельчыцы 	Гомельская вобласць 	+375 2356
Лепельскі раён 	Лепель 	Віцебская вобласць 	+375 2132
Лёзненскі раён 	Лёзна 	Віцебская вобласць 	+375 2138
Лідскі раён 	Ліда 	Гродзенская вобласць 	+375 1561
Лоеўскі раён 	Лоеў 	Гомельская вобласць 	+375 2347
Лунінецкі раён 	Лунінец 	Брэсцкая вобласць 	+375 1647
Любанскі раён 	Любань 	Мінская вобласць 	+375 1794
Ляхавіцкі раён 	Ляхавічы 	Брэсцкая вобласць 	+375 1633
Магілёўскі раён 	Магілёў 	Магілёўская вобласць 	+375 222
Мазырскі раён 	Мазыр 	Гомельская вобласць 	+375 2351
Маладзечанскі раён 	Маладзечна 	Мінская вобласць 	+375 1773
Маларыцкі раён 	Маларыта 	Брэсцкая вобласць 	+375 1651
Мастоўскі раён 	Масты 	Гродзенская вобласць 	+375 1515
Мінскі раён 	Мінск 	Мінская вобласць 	+375 17
Мёрскі раён 	Мёры 	Віцебская вобласць 	+375 2152
Мсціслаўскі раён 	Мсціслаў 	Магілёўская вобласць 	+375 2240
Мядзельскі раён 	Мядзел 	Мінская вобласць 	+375 1797
Навагрудскі раён 	Навагрудак 	Гродзенская вобласць 	+375 1597
Нараўлянскі раён 	Нароўля 	Гомельская вобласць 	+375 2355
Нясвіжскі раён 	Нясвіж 	Мінская вобласць 	+375 1770
Пастаўскі раён 	Паставы 	Віцебская вобласць 	+375 2155
Петрыкаўскі раён 	Петрыкаў 	Гомельская вобласць 	+375 2350
Пінскі раён 	Пінск 	Брэсцкая вобласць 	+375 165
Полацкі раён 	Полацк 	Віцебская вобласць 	+375 214
Пружанскі раён 	Пружаны 	Брэсцкая вобласць 	+375 1632
Пухавіцкі раён 	Мар'іна Горка 	Мінская вобласць 	+375 1713
Рагачоўскі раён 	Рагачоў 	Гомельская вобласць 	+375 2339
Расонскі раён 	Расоны 	Віцебская вобласць 	+375 2159
Рэчыцкі раён 	Рэчыца 	Гомельская вобласць 	+375 2340
Салігорскі раён 	Салігорск 	Мінская вобласць 	+375 174
Сенненскі раён 	Сянно 	Віцебская вобласць 	+375 2135
Слаўгарадскі раён 	Слаўгарад 	Магілёўская вобласць 	+375 2246
Слонімскі раён 	Слонім 	Гродзенская вобласць 	+375 1562
Слуцкі раён 	Слуцк 	Мінская вобласць 	+375 1795
