    горад Віцебск
    вёска Камякі, Смальянскі сельсавет
    вёска Карпаўшчына, Смальянскі сельсавет
    вёска Кучына, Смальянскі сельсавет
    вёска Масюкі, Смальянскі сельсавет
    вёска Паркавая, Смальянскі сельсавет
    вёска Парэчча, Смальянскі сельсавет
    вёска Руклі, Смальянскі сельсавет
    вёска Рэпухава, Смальянскі сельсавет
    вёска Смальяны, Смальянскі сельсавет
    вёска Соманава, Смальянскі сельсавет
    вёска Спаскае, Смальянскі сельсавет
    вёска Ступавое, Смальянскі сельсавет
    вёска Субачава, Смальянскі сельсавет
    вёска Сялец, Смальянскі сельсавет
    пасёлак Трудавы, Смальянскі сельсавет
    вёска Ціханы, Смальянскі сельсавет
    вёска Цюльпін, Смальянскі сельсавет
    вёска Шанькава, Смальянскі сельсавет
    вёска Шыбекі, Смальянскі сельсавет
    вёска Засценкі, Якаўлевіцкі сельсавет
    вёска Казловічы 1, Якаўлевіцкі сельсавет
    вёска Казловічы 2, Якаўлевіцкі сельсавет
    вёска Лешча, Якаўлевіцкі сельсавет
    вёска Люціны, Якаўлевіцкі сельсавет
    вёска Лямна, Якаўлевіцкі сельсавет
    вёска Магераўка, Якаўлевіцкі сельсавет
    вёска Раманоўка, Якаўлевіцкі сельсавет
    вёска Якаўлевічы, Якаўлевіцкі сельсавет
    пасёлак Якаўлевічы, Якаўлевіцкі сельсавет
    гарадскі пасёлак Бешанковічы
    вёска Абухава, Астровенскі сельсавет
    вёска Александрова, Астровенскі сельсавет
    вёска Астроўна, Астровенскі сельсавет
    вёска Белае, Астровенскі сельсавет
    вёска Бузаны, Астровенскі сельсавет
    вёска Вядзерава, Астровенскі сельсавет
    вёска Гародна, Астровенскі сельсавет
    вёска Горкі, Астровенскі сельсавет
    вёска Данілаўка, Астровенскі сельсавет
    вёска Дзягілева, Астровенскі сельсавет
    вёска Доўгае, Астровенскі сельсавет
    вёска Жаркі, Астровенскі сельсавет
    вёска Жыгалы, Астровенскі сельсавет
    вёска Замашэнне, Астровенскі сельсавет
    вёска Замялочча, Астровенскі сельсавет
    вёска Застарынне, Астровенскі сельсавет
    вёска Камлі, Астровенскі сельсавет
    вёска Клішы, Астровенскі сельсавет
    вёска Крупеніна, Астровенскі сельсавет
    вёска Купіна, Астровенскі сельсавет
    вёска Латыгава, Астровенскі сельсавет
    вёска Латышы, Астровенскі сельсавет
    вёска Лукі, Астровенскі сельсавет
    вёска Лучкі, Астровенскі сельсавет
    вёска Малы Двор, Астровенскі сельсавет
    вёска Навасёлкі, Астровенскі сельсавет
    вёска Панкратава, Астровенскі сельсавет
    вёска Плісы, Астровенскі сельсавет
    вёска Прыдзвінне, Астровенскі сельсавет
    вёска Пушкары, Астровенскі сельсавет
    вёска Пясочная, Астровенскі сельсавет
    вёска Руда, Астровенскі сельсавет
    вёска Слабада, Астровенскі сельсавет
    вёска Таўсцюкі, Астровенскі сельсавет
    вёска Чанавічы, Астровенскі сельсавет
    вёска Шуты, Астровенскі сельсавет
    вёска Багданава, Бачэйкаўскі сельсавет
    вёска Бачэйкава, Бачэйкаўскі сельсавет
    вёска Быцава, Бачэйкаўскі сельсавет
    вёска Высокая Гара, Бачэйкаўскі сельсавет
    вёска Грудзінава, Бачэйкаўскі сельсавет
    вёска Грыцькаўка, Бачэйкаўскі сельсавет
    вёска Далосцы, Бачэйкаўскі сельсавет
    вёска Двор Нізгалава, Бачэйкаўскі сельсавет
    вёска Дзятлава, Бачэйкаўскі сельсавет
    вёска Жалезкі, Бачэйкаўскі сельсавет
    вёска Жарнасекава, Бачэйкаўскі сельсавет
    вёска Забелле, Бачэйкаўскі сельсавет
    вёска Заручэўе, Бачэйкаўскі сельсавет
    вёска Клешчыно, Бачэйкаўскі сельсавет
    вёска Навасёлкі, Бачэйкаўскі сельсавет
    вёска Немцава, Бачэйкаўскі сельсавет
    вёска Нізгалава, Бачэйкаўскі сельсавет
    вёска Промыслы, Бачэйкаўскі сельсавет
    вёска Прыгожае, Бачэйкаўскі сельсавет
    вёска Саўрасы, Бачэйкаўскі сельсавет
    вёска Селядцова, Бачэйкаўскі сельсавет
    вёска Скакуноўшчына, Бачэйкаўскі сельсавет
    вёска Чурылава, Бачэйкаўскі сельсавет
    вёска Шыпулі, Бачэйкаўскі сельсавет
    вёска Алейнікі, Бешанковіцкі сельсавет
    вёска Аскершчына, Бешанковіцкі сельсавет
    вёска Бабаедава, Бешанковіцкі сельсавет
    вёска Баброўшчына, Бешанковіцкі сельсавет
    вёска Берасні, Бешанковіцкі сельсавет
    вёска Буй, Бешанковіцкі сельсавет
    вёска Быстры, Бешанковіцкі сельсавет
